Strain_x Strain_y Strain_z Stress_xx(GPa) Stress_yy(GPa) Stress_zz(GPa) Stress_VM(GPa)
1.79744388565036e-15 0 -2.78536233634369e-15 0.0340276127064768 -0.291962016664032 0.244094500370971 0.467842882389947
0.000500000000001833 0.000308846080672011 -0.000422743543999171 0.320830546500038 0.0532191368563618 0.164263158060615 0.232873343622051
0.00100000000000173 0.000514815895944596 -0.00128451515720652 0.435845921836547 0.0647368718267594 -0.10173158017634 0.476667202134724
0.00150000000000176 0.000462372857731142 -0.0017141180082392 0.519877141818584 0.0461285438130945 -0.101156620647022 0.562055863729041
0.0020000000000018 0.000260699601505337 -0.00179243218892315 0.68623797550543 0.0299738664704324 0.0900017912150606 0.628404137483907
0.0025000000000017 -2.10067663715968e-05 -0.00203398540688895 0.817566372536035 -0.00300087644332433 0.0211392539828989 0.808767429846615
0.00300000000000173 -0.000226177952295214 -0.00231916434492502 0.958753768387756 -0.0530473764709428 0.00987935600098333 0.981851307703796
0.00350000000000177 -0.000264912719143566 -0.00259607391780227 1.10409727048145 0.0328120815174041 0.0142740832865671 1.08067344577808
0.0040000000000018 -0.000396902298439663 -0.00287119747786793 1.24603950361381 0.0744793775390683 0.00674450064689878 1.2068540191205
0.00450000000000184 -0.000707003213320281 -0.00314398849154943 1.35362870426654 -0.0370369371695094 -0.0166600574651432 1.38058998874129
0.00500000000000173 -0.000921593492660618 -0.00331274818060012 1.45491776902 -0.0116765833147843 -0.0144555241636946 1.46798579549225
0.00550000000000177 -0.00109868998865311 -0.00345530415373914 1.64381827471144 0.0635503664933935 0.0475115354945104 1.58834805875681
0.00600000000000181 -0.00137890925887528 -0.00372200764877177 1.72392400686624 -0.0110715397485168 -0.0334052890717555 1.74626953782825
0.0065000000000017 -0.00155903117458486 -0.00389598581302447 1.84343675285781 -0.0347553216264744 0.0322705805829814 1.8455921602314
0.00700000000000174 -0.00163868264500106 -0.00410311527241881 1.98832915659278 0.0574295901216378 0.0732190907061164 1.92305343251138
0.00750000000000177 -0.00183832090180441 -0.0044465993238388 2.07012008084597 -0.00406599336699801 -0.0142816337548714 2.0793127154902
0.00800000000000181 -0.00203953848080003 -0.00469469828569544 2.18703807757214 0.0148798310497853 -0.0422055514891316 2.2012561580317
0.00850000000000184 -0.00224802611151635 -0.00479388893405776 2.35106585197236 0.0425904110591382 0.0278497009342094 2.31588098078021
0.00900000000000174 -0.00250949428898414 -0.00497315093320571 2.45464058111235 -0.0106480036019149 0.0236400364831532 2.44832464387413
0.00950000000000177 -0.00273815061021284 -0.00520061149615538 2.59608210303853 0.0413482844866104 -0.00870550639569417 2.58012487642523
0.0100000000000018 -0.00299369068328563 -0.00537197490737037 2.72297357969041 -0.00435830507597685 0.0519390241259562 2.69962351041382
0.0105000000000017 -0.00316339997879019 -0.00566096628965749 2.80047002242823 -0.00521379693200852 -0.00783899487368265 2.80699733902112
0.0110000000000017 -0.00326820747648733 -0.00593401270862476 2.94778301249391 -0.0143587350706058 0.0154117528400083 2.94736926928568
0.0115000000000018 -0.0033948055752851 -0.00618063313227225 3.0621881413424 0.0508135522029823 0.0163967495590633 3.02872965405302
0.0120000000000018 -0.00361191943589485 -0.00643060690256553 3.19873125484392 -1.14730672401168e-05 0.027985568530479 3.18483650137476
0.0125000000000018 -0.00378753786613466 -0.0066780212580209 3.30878681741264 0.0102228354523539 0.00898473209765882 3.29918320787394
0.0130000000000017 -0.00400262827317668 -0.00692883576489134 3.36239848306294 0.0338613210948001 0.00757255151502959 3.34175910030894
0.0135000000000018 -0.00424346051283047 -0.00715913435441607 3.48589833138595 -0.0360962810616364 -0.022988486699029 3.51545904303502
0.0140000000000018 -0.00435606857296666 -0.00731622732345722 3.63590401568976 0.0418867140367141 0.0374455988114537 3.59623991594611
0.0145000000000018 -0.0045429269692387 -0.00753517802990081 3.75686954100777 0.00472182275643023 0.0535152112759427 3.72799051674528
