# step time[ps] z_front[A] vz[A/ps] speed[A/ps] penetration[A]
10700 2.44 234.612104639667 -10.001973586619 10.0019735875493 3.887895360333
10750 2.45 234.511836573229 -10.0022744081191 10.0022744092874 3.988163426771
10800 2.46 234.413835076544 -10.0026190297686 10.0026190312338 4.08616492345601
10850 2.47 234.317959584272 -10.0030129185607 10.0030129204025 4.18204041572801
10900 2.48 234.197499341966 -10.0034633411103 10.0034633434282 4.30250065803401
10950 2.49 234.076780110548 -10.0039756273285 10.0039756302656 4.42321988945201
11000 2.5 233.956139632011 -10.0045588405815 10.0045588443269 4.543860367989
11050 2.51 233.83578185283 -10.0052240993919 10.0052241042186 4.66421814717
11100 2.52 233.715598357679 -10.0059834875993 10.0059834938914 4.784401642321
11150 2.53 233.59504632836 -10.0068544329633 10.0068544413322 4.90495367163999
11200 2.54 233.473238053775 -10.007857532638 10.0078575439031 5.02676194622501
11250 2.55 233.349295935729 -10.0090196986715 10.0090197140197 5.150704064271
11300 2.56 233.222854057494 -10.010370588738 10.0103706098383 5.277145942506
11350 2.57 233.094468487754 -10.0119420465346 10.0119420756026 5.405531512246
11400 2.58 232.965620278595 -10.0137651870449 10.0137652269692 5.534379721405
11450 2.59 232.838344653328 -10.0158678645047 10.015867919062 5.66165534667201
11500 2.6 232.714736747709 -10.0182667804825 10.0182668546352 5.785263252291
11550 2.61 232.596601779753 -10.0209626865735 10.0209627863144 5.903398220247
11600 2.62 232.485327790543 -10.0239464617705 10.0239465941214 6.01467220945699
11650 2.63 232.38188778911 -10.0272094351638 10.0272096081769 6.11811221088999
11700 2.64 232.286873573199 -10.030739977861 10.0307402014175 6.21312642680101
11750 2.65 232.200531517842 -10.0345285867228 10.0345288731663 6.29946848215801
11800 2.66 232.122677285447 -10.0385869463273 10.0385873110556 6.377322714553
11850 2.67 232.052481759033 -10.042936914906 10.0429373765419 6.44751824096701
11900 2.68 231.988654892972 -10.0476021829436 10.0476027635689 6.51134510702801
11950 2.69 231.929474008374 -10.0526265634776 10.052627288005 6.570525991626
12000 2.7 231.872403798499 -10.0580690536928 10.0580699497847 6.62759620150101
12050 2.71 231.814269472587 -10.0639620112546 10.0639631084927 6.685730527413
12100 2.72 231.752079682513 -10.0703076566002 10.070308989049 6.747920317487
12150 2.73 231.683875253951 -10.0770623320212 10.0770639434983 6.81612474604901
12200 2.74 231.5672320787 -10.0841169869894 10.0841189415351 6.93276792130001
12250 2.75 231.429501294858 -10.091265012007 10.0912674164797 7.070498705142
12300 2.76 231.300784843622 -10.0981925373943 10.0981955823346 7.19921515637799
12350 2.77 231.193517027538 -10.1046499807435 10.104653962752 7.30648297246199
12400 2.78 231.116659980142 -10.1108596953034 10.1108649412125 7.383340019858
12450 2.79 231.065965746399 -10.1173490206272 10.117355830221 7.434034253601
12500 2.8 231.024879214757 -10.1243112810384 10.1243200698042 7.47512078524301
12550 2.81 230.974409772918 -10.1318014338419 10.1318128273149 7.52559022708201
12600 2.82 230.901457997347 -10.1402245569348 10.1402391117738 7.59854200265301
12650 2.83 230.803688637817 -10.1497106405496 10.1497286913935 7.696311362183
12700 2.84 230.691281102335 -10.1596004794392 10.1596225256273 7.80871889766499
12750 2.85 230.583403710548 -10.1691709547385 10.1691981539258 7.916596289452
12800 2.86 230.499172329409 -10.1784843630544 10.1785185234307 8.00082767059101
12850 2.87 230.44573471533 -10.1881985425712 10.1882418402082 8.05426528467001
12900 2.88 230.35745920629 -10.1986951421659 10.1987503087561 8.14254079371
12950 2.89 230.257837872096 -10.2099968036852 10.2100674421979 8.24216212790401
13000 2.9 230.171243129481 -10.2215778348397 10.2216685127082 8.32875687051899
13050 2.91 230.089572423488 -10.2329830340888 10.2330973389991 8.41042757651201
13100 2.92 230.004111109287 -10.2448098461638 10.2449473806212 8.49588889071299
13150 2.93 229.911084893878 -10.2578907563437 10.258047150122 8.58891510612199
13200 2.94 229.812741570823 -10.2730595494105 10.2732284018033 8.68725842917701
13250 2.95 229.714125769335 -10.2901116357455 10.2902843796629 8.785874230665
13300 2.96 229.618482171641 -10.3069385291974 10.3071055527165 8.88151782835899
13350 2.97 229.524860571494 -10.3212032950488 10.3213592728679 8.975139428506
13400 2.98 229.430893582538 -10.3320530732087 10.3322026106325 9.069106417462
13450 2.99 229.338030110314 -10.3394287429189 10.3395843952705 9.16196988968599
13500 3 229.253063954127 -10.3425965260066 10.3427695963051 9.24693604587301
13550 3.01 229.183738102058 -10.3410057143307 10.3411955244989 9.31626189794201
13600 3.02 229.132696866732 -10.3364245446747 10.3366212046598 9.367303133268
13650 3.03 229.094116998868 -10.3325608563762 10.3327634688032 9.405883001132
13700 3.04 229.058674185541 -10.3315103803477 10.3317301601422 9.44132581445899
13750 3.05 229.021159845921 -10.3330111446516 10.3332599844822 9.47884015407899
13800 3.06 228.954685417118 -10.3364271016189 10.3367122298198 9.54531458288201
13850 3.07 228.870998551402 -10.3423269018637 10.3426464963461 9.62900144859799
13900 3.08 228.808727554899 -10.3503266850706 10.350669966751 9.69127244510099
13950 3.09 228.768531497039 -10.3576669199929 10.3580241791617 9.73146850296101
14000 3.1 228.735394623999 -10.361285566361 10.3616530621933 9.76460537600099
14050 3.11 228.686126055869 -10.3603741784559 10.3607463955045 9.81387394413099
14100 3.12 228.608759711687 -10.3568509188827 10.3572201986303 9.89124028831301
14150 3.13 228.515295466096 -10.3539242173546 10.3542883623814 9.98470453390399
14200 3.14 228.429031964542 -10.3525216411268 10.3528839207864 10.070968035458
14250 3.15 228.365437413931 -10.3518227335659 10.35218526909 10.134562586069
14300 3.16 228.321263346106 -10.3510640867081 10.351425024379 10.178736653894
14350 3.17 228.275873290391 -10.3477713467018 10.3481267338061 10.224126709609
14400 3.18 228.183177097757 -10.3399651248904 10.3403030063516 10.316822902243
14450 3.19 228.116338343344 -10.3289838949065 10.3293000773993 10.383661656656
14500 3.2 228.024783556706 -10.3173756179256 10.3176876177049 10.475216443294
14550 3.21 227.958059510001 -10.3062269615478 10.3065537656793 10.541940489999
14600 3.22 227.840196388143 -10.2947493749766 10.2950950983655 10.659803611857
14650 3.23 227.707538197177 -10.2814415989824 10.2817935382916 10.792461802823
14700 3.24 227.619142649301 -10.2657169054203 10.2660517938454 10.880857350699
14750 3.25 227.587694572263 -10.2484084375781 10.2487062144481 10.912305427737
14800 3.26 227.571044281547 -10.2307037524174 10.2309549077671 10.928955718453
14850 3.27 227.494335136841 -10.2127187420521 10.2129210636511 11.005664863159
14900 3.28 227.409217021594 -10.1932876569155 10.1934473546519 11.090782978406
14950 3.29 227.315741653025 -10.1718126106974 10.1719407474546 11.184258346975
15000 3.3 227.227849666907 -10.1497372012354 10.1498425218429 11.272150333093
15050 3.31 227.159693325456 -10.1303954474436 10.1304833791773 11.340306674544
15100 3.32 227.109172474494 -10.1137698816962 10.1138412446045 11.390827525506
15150 3.33 227.059683922673 -10.0953364252472 10.0953906316121 11.440316077327
15200 3.34 226.994492163893 -10.0713760040413 10.0714166691823 11.505507836107
15250 3.35 226.912261139843 -10.0415103610578 10.0415430202526 11.587738860157
15300 3.36 226.826373718859 -10.0061256379459 10.0061518370533 11.673626281141
15350 3.37 226.751203933847 -9.96548901006685 9.96550420699304 11.748796066153
15400 3.38 226.695024442909 -9.9214342564431 9.92143776614766 11.804975557091
15450 3.39 226.659518364201 -9.87711474532442 9.87712132278381 11.840481635799
15500 3.4 226.636627480095 -9.83563749665225 9.83567654146767 11.863372519905
15550 3.41 226.610047380016 -9.79933486881818 9.79942667123346 11.889952619984
15600 3.42 226.529873416839 -9.76836060836794 9.76849347611727 11.970126583161
15650 3.43 226.414451577861 -9.73962281449161 9.73977329982164 12.085548422139
15700 3.44 226.303259974256 -9.70947684054414 9.70963282466361 12.196740025744
15750 3.45 226.219691446638 -9.67683651556983 9.67699401210187 12.280308553362
15800 3.46 226.171448269748 -9.64154588015774 9.64170442847151 12.328551730252
15850 3.47 226.149573255864 -9.60379849689111 9.60396343798085 12.350426744136
15900 3.48 226.135347094167 -9.56471941171691 9.56489811372791 12.364652905833
15950 3.49 226.106897402753 -9.52619423239569 9.52639483730379 12.393102597247
16000 3.5 226.047255298112 -9.49014802314563 9.4903847415347 12.452744701888
16050 3.51 225.95597882336 -9.45554213223182 9.45582365067917 12.54402117664
16100 3.52 225.853851472509 -9.41688091678948 9.41719994342816 12.646148527491
16150 3.53 225.769382741418 -9.37213846625025 9.37246899882835 12.730617258582
16200 3.54 225.715252251048 -9.32747188900037 9.32777764338499 12.784747748952
16250 3.55 225.67598308377 -9.28809903735134 9.28836219079087 12.82401691623
16300 3.56 225.627428308648 -9.25237721592709 9.25261292445176 12.872571691352
16350 3.57 225.560289238953 -9.21565762866039 9.21589676152233 12.939710761047
16400 3.58 225.480879609372 -9.17458590306803 9.17485614984112 13.019120390628
16450 3.59 225.3995746344 -9.12797692465734 9.12830326649496 13.1004253656
16500 3.6 225.319719515231 -9.07661780603183 9.07701848073001 13.180280484769
16550 3.61 225.235957088169 -9.02348367210362 9.02395179322314 13.264042911831
16600 3.62 225.142262566618 -8.97484126041003 8.97534628700935 13.357737433382
16650 3.63 225.039051450358 -8.93372805780092 8.93423560115688 13.460948549642
16700 3.64 224.934796757804 -8.89623312681881 8.8967217327322 13.565203242196
16750 3.65 224.842337413604 -8.85989684633623 8.86035749878622 13.657662586396
16800 3.66 224.769270589177 -8.82653391944461 8.82697594998598 13.730729410823
16850 3.67 224.709680873485 -8.79590122644898 8.79635228581379 13.790319126515
16900 3.68 224.650825581787 -8.76394529077827 8.7644379619323 13.849174418213
16950 3.69 224.587030428727 -8.72746748079334 8.72802716522093 13.912969571273
17000 3.7 224.525088523991 -8.68576182634331 8.68639471788321 13.974911476009
17050 3.71 224.477293921943 -8.64200099643092 8.64267146914613 14.022706078057
17100 3.72 224.448895999222 -8.60303205640012 8.60368848800642 14.051104000778
17150 3.73 224.432869989722 -8.57259302234469 8.57320168871875 14.067130010278
17200 3.74 224.416458727689 -8.5463990425798 8.54694362408921 14.083541272311
17250 3.75 224.38871084066 -8.51700996137421 8.5174845723901 14.11128915934
17300 3.76 224.343466709969 -8.47920832348465 8.47962456694109 14.156533290031
17350 3.77 224.280241283166 -8.43195320250589 8.43234887998081 14.219758716834
17400 3.78 224.204210838272 -8.38012619601231 8.3805622067093 14.295789161728
17450 3.79 224.124094465304 -8.32963916318875 8.33017101031366 14.375905534696
17500 3.8 224.049497933239 -8.28426716814187 8.28490889132653 14.450502066761
17550 3.81 223.988702760118 -8.24699450981333 8.2477206277901 14.511297239882
17600 3.82 223.945676669093 -8.21520296077667 8.21599832359366 14.554323330907
17650 3.83 223.883012469334 -8.17979015834335 8.18066793505222 14.616987530666
17700 3.84 223.815272339679 -8.13278606562288 8.13377530756648 14.684727660321
17750 3.85 223.763354106392 -8.07293709512861 8.07406204746073 14.736645893608
17800 3.86 223.725660354695 -8.00714665952725 8.00840296209249 14.774339645305
17850 3.87 223.678967878328 -7.94495660636176 7.9463279762674 14.821032121672
17900 3.88 223.60047743896 -7.89098533872774 7.89249286598421 14.89952256104
17950 3.89 223.512541672793 -7.84319107721513 7.84487347592332 14.987458327207
18000 3.9 223.411609346629 -7.79530852673518 7.79717664042774 15.088390653371
18050 3.91 223.303562530321 -7.74173398201636 7.74376737735835 15.196437469679
18100 3.92 223.208353364725 -7.68008046220348 7.68222870631994 15.291646635275
18150 3.93 223.140846355422 -7.61290123973919 7.61510000124867 15.359153644578
18200 3.94 223.095476492419 -7.54662636723679 7.54885716438139 15.404523507581
18250 3.95 223.052401078589 -7.48386118656874 7.48616193089886 15.447598921411
18300 3.96 222.995828160272 -7.42139803206969 7.42379594824908 15.504171839728
18350 3.97 222.917226439478 -7.35605459442046 7.3585496372897 15.582773560522
18400 3.98 222.834159403831 -7.28819363508582 7.29080197216146 15.665840596169
18450 3.99 222.76489629135 -7.21911754084246 7.22190399864377 15.73510370865
18500 4 222.693549164405 -7.14991780985431 7.15302130435812 15.806450835595
18550 4.01 222.610852243051 -7.07976505486728 7.08334925546814 15.889147756949
18600 4.02 222.519798658922 -7.00594536348478 7.01008325467566 15.980201341078
18650 4.03 222.429306936037 -6.92809184123334 6.93269393897354 16.070693063963
18700 4.04 222.344354264949 -6.84921484745 6.85403863393982 16.155645735051
18750 4.05 222.266649901709 -6.77151030138376 6.77632775692523 16.233350098291
18800 4.06 222.198363845107 -6.69583099562288 6.70056769963805 16.301636154893
18850 4.07 222.141072888651 -6.62367203545701 6.62839506984078 16.358927111349
18900 4.08 222.069423894549 -6.5521677634819 6.5570087724979 16.430576105451
18950 4.09 222.003069009184 -6.47563163168208 6.48074350507989 16.496930990816
19000 4.1 221.943060202356 -6.3933213537811 6.39881444091449 16.556939797644
19050 4.11 221.882711978873 -6.3095713168028 6.31542477245893 16.617288021127
19100 4.12 221.818089177747 -6.22735944575387 6.23341828921221 16.681910822253
19150 4.13 221.752437967153 -6.14582876953307 6.1519196201874 16.747562032847
19200 4.14 221.691825673534 -6.06450120360018 6.07054207717291 16.808174326466
19250 4.15 221.639223588163 -5.98394924042522 5.99001929789458 16.860776411837
19300 4.16 221.592779409286 -5.90310060733759 5.90945894361359 16.907220590714
19350 4.17 221.54635140283 -5.82084238870238 5.82776248644129 16.95364859717
19400 4.18 221.492352639915 -5.73868294552942 5.74620814409835 17.007647360085
19450 4.19 221.426298370383 -5.65845470818977 5.66632348895194 17.073701629617
19500 4.2 221.34929495596 -5.58056311745065 5.58832314980531 17.15070504404
19550 4.21 221.269713205951 -5.50326148580563 5.51050275005746 17.230286794049
19600 4.22 221.19984172234 -5.42612482998113 5.43273074632418 17.30015827766
19650 4.23 221.14427659632 -5.35108394966895 5.3572831798665 17.35572340368
19700 4.24 221.093846740144 -5.28016326639364 5.28636904143252 17.406153259856
19750 4.25 221.036389208155 -5.21185179061083 5.21838610221677 17.463610791845
19800 4.26 220.971223045433 -5.14170959681964 5.14862529251521 17.528776954567
19850 4.27 220.910940281139 -5.06725157207097 5.07433168085486 17.589059718861
19900 4.28 220.869333786613 -4.99034546443749 4.99732385675656 17.630666213387
19950 4.29 220.841716570952 -4.91611346108057 4.92300017265004 17.658283429048
20000 4.3 220.778601849792 -4.84948561861945 4.85659006513836 17.721398150208
20050 4.31 220.729060820261 -4.79197677145466 4.79973697093121 17.770939179739
20100 4.32 220.680647112263 -4.7385700402475 4.74730856165803 17.819352887737
20150 4.33 220.619621441734 -4.68070060224659 4.69048899299469 17.880378558266
20200 4.34 220.543976011729 -4.61441847276236 4.62506163554404 17.956023988271
20250 4.35 220.464504889675 -4.54284095851887 4.55395058026009 18.035495110325
20300 4.36 220.39654625472 -4.47092290952209 4.48211846060691 18.10345374528
20350 4.37 220.352322746084 -4.39879404820711 4.40998989012822 18.147677253916
20400 4.38 220.337390679805 -4.32402668324301 4.33551836900712 18.162609320195
20450 4.39 220.346784008171 -4.24646090847127 4.25875822707646 18.153215991829
20500 4.4 220.362644523743 -4.16767614079325 4.18121053069355 18.137355476257
20550 4.41 220.3601804844 -4.08753708967053 4.10244598463654 18.1398195156
20600 4.42 220.32472430509 -4.00738633666584 4.02349305986166 18.17527569491
20650 4.43 220.264388936328 -3.93264379799677 3.94951028246941 18.235611063672
20700 4.44 220.200142811713 -3.86528739393956 3.88240019532397 18.299857188287
20750 4.45 220.144568842247 -3.80255824394501 3.81947002701797 18.355431157753
20800 4.46 220.092194817731 -3.73996501636786 3.75639813094038 18.407805182269
20850 4.47 220.029364956692 -3.67319740111934 3.68932452716408 18.470635043308
20900 4.48 219.949054691978 -3.6019259221548 3.61842542266093 18.550945308022
20950 4.49 219.856008343514 -3.53157232684121 3.54916908400772 18.643991656486
21000 4.5 219.763496570609 -3.4657879789456 3.48477049130136 18.736503429391
21050 4.51 219.686125331673 -3.40342325712448 3.42366229785722 18.813874668327
21100 4.52 219.632907391205 -3.34195253827523 3.36307581551209 18.867092608795
21150 4.53 219.60372229424 -3.27987930018636 3.30137921628221 18.89627770576
21200 4.54 219.589191320864 -3.21866019824542 3.24006132566136 18.910808679136
21250 4.55 219.577457009229 -3.16142318873507 3.18263023961151 18.922542990771
21300 4.56 219.563220663012 -3.10796258418579 3.12939604409986 18.936779336988
21350 4.57 219.544790689383 -3.05413099312637 3.07633300517753 18.955209310617
21400 4.58 219.516962133253 -2.99661668309392 3.01974458006833 18.983037866747
21450 4.59 219.473313300785 -2.93363821916028 2.9575740429066 19.026686699215
21500 4.6 219.412405749731 -2.86456924143992 2.88940878421943 19.087594250269
21550 4.61 219.340915342704 -2.79469545395851 2.82079200188244 19.159084657296
21600 4.62 219.269394672175 -2.73321181303109 2.76100793306045 19.230605327825
21650 4.63 219.204437751563 -2.68243187594258 2.71240197597374 19.295562248437
21700 4.64 219.145776839043 -2.63704006501631 2.66934431100157 19.354223160957
21750 4.65 219.088822963282 -2.59092725290733 2.62526554388032 19.411177036718
21800 4.66 219.029985330958 -2.54112727963262 2.5772182390279 19.470014669042
21850 4.67 218.971129404247 -2.48851098803775 2.52658931709275 19.528870595753
21900 4.68 218.919520628398 -2.43869967411881 2.47947564475572 19.580479371602
21950 4.69 218.882352747863 -2.39582296366576 2.44010417978537 19.617647252137
22000 4.7 218.861826750838 -2.35921708971104 2.40747706664112 19.638173249162
22050 4.71 218.854899705575 -2.3259077200626 2.37799622275264 19.645100294425
22100 4.72 218.856681358626 -2.29192553933269 2.34681211130876 19.643318641374
22150 4.73 218.86212879848 -2.25306870184997 2.30934731358259 19.63787120152
22200 4.74 218.866808792791 -2.20671302770056 2.26373246522357 19.633191207209
22250 4.75 218.868067309375 -2.15435007266341 2.21247658890001 19.631932690625
22300 4.76 218.864141689014 -2.10263775271059 2.16284823923339 19.635858310986
22350 4.77 218.852017069421 -2.05872585369837 2.12206502978126 19.647982930579
22400 4.78 218.826406343813 -2.02445607423056 2.09139340445444 19.673593656187
22450 4.79 218.783065901551 -1.99596823466832 2.06592687786803 19.716934098449
22500 4.8 218.724031533842 -1.96815072917627 2.03991839345344 19.775968466158
22550 4.81 218.658095561541 -1.93758460964623 2.01048658838851 19.841904438459
22600 4.82 218.595094874223 -1.90258706591253 1.97696723318021 19.904905125777
22650 4.83 218.539944563006 -1.86429484729967 1.94148461407021 19.960055436994
22700 4.84 218.492874942389 -1.82747114330422 1.90936514227712 20.007125057611
22750 4.85 218.45407062833 -1.7940586070247 1.88220003076447 20.04592937167
22800 4.86 218.425616432257 -1.76152702602576 1.85646066835683 20.074383567743
22850 4.87 218.409620083084 -1.7258354482844 1.82714889654654 20.090379916916
22900 4.88 218.405623272361 -1.68548569222377 1.79189422202373 20.094376727639
22950 4.89 218.409330908966 -1.64283202092894 1.75266581717771 20.090669091034
23000 4.9 218.414566647462 -1.60137921992517 1.71345409572162 20.085433352538
23050 4.91 218.416480973348 -1.56360467071916 1.6779483029322 20.083519026652
23100 4.92 218.412925693617 -1.52959368151822 1.64711877491934 20.087074306383
23150 4.93 218.403745450023 -1.49793200643573 1.61947634807336 20.096254549977
23200 4.94 218.390200395556 -1.46652887110467 1.59247711199365 20.109799604444
23250 4.95 218.372501144643 -1.43503185700479 1.56530849341739 20.127498855357
23300 4.96 218.347117368676 -1.40606398090134 1.53966610432104 20.152882631324
23350 4.97 218.309820836331 -1.38254678559901 1.51818365003961 20.190179163669
23400 4.98 218.261257033626 -1.36506430854014 1.50235864171938 20.238742966374
23450 4.99 218.207958547795 -1.35149729757376 1.49124092651067 20.292041452205
23500 5 218.158312674048 -1.33861955713302 1.48202530429215 20.341687325952
23550 5.01 218.118477864196 -1.32403727027969 1.47100706911795 20.381522135804
23600 5.02 218.091017190263 -1.30814454111232 1.45660396204635 20.408982809737
23650 5.03 218.074876848907 -1.29405190898419 1.44168562960685 20.425123151093
23700 5.04 218.066447205239 -1.28531420618396 1.43143022815074 20.433552794761
23750 5.05 218.060155204386 -1.28242385390045 1.42766600308748 20.439844795614
23800 5.06 218.04968085428 -1.28217953916959 1.42751561055029 20.45031914572
23850 5.07 218.031229524048 -1.27958179142782 1.42562134098024 20.468770475952
23900 5.08 218.005195325493 -1.27032877178786 1.41681982913424 20.494804674507
23950 5.09 217.975338232561 -1.25350720856363 1.39948030101047 20.524661767439
24000 5.1 217.946008882331 -1.23292159989804 1.37758280808727 20.553991117669
24050 5.11 217.919643052301 -1.21372550107001 1.35750380167135 20.580356947699
24100 5.12 217.897578613595 -1.19790293657199 1.34225353363163 20.602421386405
24150 5.13 217.881088920092 -1.18671410751927 1.33296216709159 20.618911079908
24200 5.14 217.870693117471 -1.18112261241074 1.32947319861716 20.629306882529
24250 5.15 217.866726473479 -1.17911261450979 1.3283504188993 20.633273526521
24300 5.16 217.871761339387 -1.17724164590624 1.32505391918777 20.628238660613
24350 5.17 217.889936196812 -1.17204753969988 1.31661567824563 20.610063803188
24400 5.18 217.922340042089 -1.1604182564705 1.30246652032718 20.577659957911
24450 5.19 217.962620898186 -1.14154997008666 1.28471831700507 20.537379101814
24500 5.2 217.999406218722 -1.11883622579727 1.26707026692251 20.500593781278
24550 5.21 218.023001292468 -1.09689204157474 1.25205222464704 20.476998707532
24600 5.22 218.029244447056 -1.07951582519026 1.24142046055092 20.470755552944
24650 5.23 218.019056005949 -1.06894333626004 1.23622428382219 20.480943994051
24700 5.24 217.99695637837 -1.06354204603333 1.23405720640106 20.50304362163
